package,path,time
@kaggle/components,src/datasets/Dataset/FileSelectionModal/FileSelectionModal.test.tsx,9.653
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getTotalChildCount.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getTotalSize.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/findObject.test.ts
@kaggle/components,src/datasets/AttachToCompetitionModal/View/View.test.tsx,9.927
@kaggle/components,src/datasets/DataExplorerV3/Preview/DirectoryPreview/DirectoryPreview.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/StaticDataExplorer.test.tsx,5.775
@kaggle/components,src/competitions/console/console.test.ts
@kaggle/components,src/datasets/Uploaders/LocalDirectories/ExistingDirectory/ExistingDirectory.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/ColumnQuery/ColumnBooleanFilter.test.tsx
@kaggle/components,src/community/Discussions/Views/DiscussionsVoteButton/MaterialDiscussionsVoteButton.test.tsx
@kaggle/components,src/datasets/Citation/Pane/View.test.tsx
@kaggle/components,src/competitions/Competition/pages/Datasets/Datasets.test.tsx,74.372
@kaggle/components,src/datasets/utils/urlUtil.test.ts
@kaggle/components,src/datasets/Uploaders/DatasetUploader/UploaderConfirmModal/UploaderConfirmModal.test.tsx,5.229
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getNotLoadedColumns.test.ts
@kaggle/components,src/datasets/Checklist/View/Header.test.tsx,10.607
@kaggle/components,src/datasets/List/MaterialView/Body/DatasetListItem/DatasetListItem.test.tsx,5.662
@kaggle/components,src/datasets/Tasks/Task/EditTask/EditTask.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/RightPanel/NotebookViewerInputRightPanel.test.tsx,8.665
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getActualChildCount.test.ts
@kaggle/components,src/competitions/shared/Refresher/Refresher.test.tsx,9.491
@kaggle/components,src/datasets/ApiHint/ApiHintSmallContainer.test.tsx,7.507
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/getEditorPath.test.ts
@kaggle/components,src/datasets/DataExplorerV3/Preview/TablePreview/Shared/MetricsChart/StringMetricsChart/Bar.test.tsx
@kaggle/components,src/datasets/DataExplorerV3/Container/utils/equal.test.ts
@kaggle/components,src/datasets/DataExplorerV3/DefaultDataExplorer.test.tsx,5.006
@kaggle/components,src/datasets/Uploaders/LocalDirectories/Shared/FileItem/FileItem.test.tsx
@kaggle/components,src/community/search/views/SearchAppliedFilters/SearchAppliedFilters.test.tsx
@kaggle/components,src/community/search/models/SearchResultItemKernel.test.ts
@kaggle/components,src/datasets/DatasetLandingPageMaterial/View/View.test.tsx,124.455
@kaggle/components,src/datasets/DataExplorerV3/Summary/Summary.test.tsx,8.435
